cityId,name,date,num_court_cases_total,num_court_cases_male,num_court_cases_black,num_court_cases_white,num_court_cases_asian,num_court_cases_adult,num_court_cases_juv,num_court_cases_felony,num_court_cases_gross_misdemeanor,num_court_cases_misdemeanor,num_court_cases_petty_misdemeanor
c5307966,brooklyn park,2017,1016,804,669.0,216,45.0,640,376.0,508.0,50.0,128.0,1.0
c5351730,plymouth,2017,553,393,243.0,248,11.0,382,171.0,271.0,19.0,56.0,1.0
c5357220,st. louis park,2017,393,293,178.0,148,13.0,285,108.0,196.0,12.0,38.0,1.0
c5310846,champlin,2017,231,168,66.0,136,8.0,103,128.0,88.0,8.0,61.0,1.0
c5354808,robbinsdale,2017,303,237,187.0,91,4.0,227,76.0,151.0,8.0,22.0,0.0
c5340166,maple grove,2017,620,421,250.0,304,9.0,374,246.0,304.0,14.0,103.0,2.0
c5324308,golden valley,2017,205,159,84.0,96,6.0,167,38.0,116.0,9.0,16.0,1.0
c5320078,excelsior,2017,31,23,1.0,24,2.0,17,14.0,12.0,1.0,6.0,0.0
c5356680,st. anthony,2017,40,33,21.0,16,0.0,17,23.0,10.0,2.0,11.0,1.0
c5343306,minnetrista,2016,35,27,2.0,22,0.0,12,23.0,11.0,4.0,4.0,1.0
c5348580,orono,2016,35,21,1.0,28,1.0,22,13.0,17.0,0.0,4.0,0.0
c5325622,greenfield,2016,9,8,0.0,9,0.0,5,4.0,4.0,0.0,0.0,0.0
c5341480,medina,2016,37,24,5.0,23,1.0,23,14.0,17.0,0.0,6.0,0.0
c5330140,hopkins,2016,285,222,136.0,123,9.0,182,103.0,100.0,10.0,48.0,1.0
c5315022,dayton,2016,33,27,2.0,22,0.0,13,20.0,8.0,0.0,1.0,1.0
c5338006,long lake,2016,10,7,0.0,5,0.0,4,6.0,4.0,0.0,0.0,0.0
c5318188,edina,2016,456,324,189.0,212,13.0,253,203.0,215.0,15.0,41.0,1.0
c5354214,richfield,2016,318,248,131.0,138,8.0,217,101.0,158.0,9.0,26.0,1.0
c5330842,independence,2016,21,15,1.0,13,1.0,10,11.0,10.0,2.0,0.0,1.0
c5343000,minneapolis,2016,5926,4830,3833.0,1352,80.0,4273,1653.0,3630.0,188.0,659.0,11.0
c5355186,rogers,2016,194,150,34.0,131,7.0,127,67.0,86.0,0.0,28.0,5.0
c5314158,crystal,2016,249,182,158.0,63,6.0,152,97.0,98.0,4.0,42.0,0.0
c5344476,mound,2016,39,33,5.0,30,0.0,28,11.0,23.0,3.0,3.0,1.0
c5368818,wayzata,2016,58,46,17.0,25,0.0,28,30.0,18.0,0.0,14.0,1.0
c5306616,bloomington,2016,1514,1032,703.0,610,36.0,753,761.0,629.0,39.0,251.0,3.0
c5343252,minnetonka,2016,493,342,241.0,216,9.0,253,240.0,218.0,38.0,92.0,3.0
c5313168,corcoran,2016,15,11,0.0,14,0.0,7,8.0,9.0,2.0,2.0,0.0
c5360016,shorewood,2016,43,32,5.0,31,0.0,28,15.0,16.0,2.0,6.0,1.0
c5345628,new hope,2016,252,171,181.0,54,6.0,83,169.0,86.0,23.0,75.0,1.0
c5315148,deephaven,2016,11,8,2.0,8,0.0,7,4.0,4.0,0.0,0.0,1.0
c5307948,brooklyn center,2016,559,440,400.0,123,16.0,367,192.0,307.0,10.0,65.0,2.0
c5343270,minnetonka beach,2016,2,1,0.0,2,0.0,1,1.0,1.0,0.0,0.0,0.0
c5349012,osseo,2016,76,46,44.0,23,3.0,20,56.0,19.0,4.0,28.0,0.0
c5318116,eden prairie,2016,360,265,113.0,188,20.0,241,119.0,183.0,11.0,31.0,1.0
c5307966,brooklyn park,2016,1069,847,734.0,216,52.0,590,479.0,482.0,57.0,158.0,4.0
c5351730,plymouth,2016,484,378,198.0,245,7.0,287,197.0,238.0,16.0,68.0,2.0
c5357220,st. louis park,2016,436,325,206.0,162,14.0,317,119.0,206.0,23.0,42.0,2.0
c5310846,champlin,2016,201,170,56.0,112,5.0,84,117.0,71.0,16.0,34.0,0.0
c5354808,robbinsdale,2016,272,209,180.0,70,3.0,186,86.0,113.0,10.0,32.0,0.0
c5340166,maple grove,2016,501,353,214.0,230,14.0,240,261.0,185.0,16.0,93.0,2.0
c5324308,golden valley,2016,155,130,73.0,70,6.0,122,33.0,99.0,4.0,12.0,0.0
c5320078,excelsior,2016,38,26,2.0,30,2.0,25,13.0,20.0,2.0,3.0,0.0
c5356680,st. anthony,2016,34,26,6.0,26,0.0,24,10.0,16.0,0.0,3.0,0.0
