districtId,name,date
d2721240,t3108700,2019
d2721240,t3108800,2019
d2721240,t3108900,2019
d2721240,t3109000,2019
d2721240,t3109100,2019
d2721240,t3109200,2019
d2721240,t3109300,2019
d2721240,t3109400,2019
d2721240,t3109700,2019
d2721240,t3109800,2019
d2721240,t3109900,2019
d2721240,t3110000,2019
d2721240,t3110100,2019
d2721240,t3110200,2019
d2721240,t3110400,2019
d2721240,t3110500,2019
d2721240,t3110800,2019
d2721240,t3110900,2019
d2721240,t3111100,2019
d2721240,t3111200,2019
d2721240,t3111300,2019
d2721240,t3111400,2019
d2721240,t3111500,2019
d2721240,t3111600,2019
d2733780,t3122500,2019
d2733780,t3122600,2019
d2705790,t3125500,2019
d2721240,t3125600,2019
d2721240,t3125700,2019
d2721240,t3125800,2019
d2721240,t3125900,2019
d2721240,t3126000,2019
d2721240,t3126100,2019
d2721240,t3126200,2019
d2705790,t3980000,2019
d2731750,t3980000,2019
d2721240,t3000101,2018
d2721240,t3000102,2018
d2721240,t3000300,2018
d2721240,t3000601,2018
d2721240,t3000603,2018
d2721240,t3001100,2018
d2721240,t3001700,2018
d2721240,t3002200,2018
d2721240,t3002400,2018
d2721240,t3002700,2018
d2721240,t3003200,2018
d2721240,t3003300,2018
d2721240,t3003800,2018
d2721240,t3005901,2018
d2721240,t3005902,2018
d2721240,t3006800,2018
d2721240,t3007700,2018
d2721240,t3007801,2018
d2721240,t3008100,2018
d2721240,t3008200,2018
d2721240,t3008300,2018
d2721240,t3008400,2018
d2721240,t3008500,2018
d2721240,t3009500,2018
d2721240,t3009600,2018
d2721240,t3010600,2018
d2721240,t3010700,2018
d2721240,t3011000,2018
d2721240,t3011703,2018
d2721240,t3011704,2018
d2721240,t3011800,2018
d2721240,t3011998,2018
d2721240,t3012001,2018
d2721240,t3012003,2018
d2721240,t3012101,2018
d2721240,t3012102,2018
d2733420,t3020101,2018
d2721240,t3020102,2018
d2733420,t3020102,2018
d2703180,t3020200,2018
d2706240,t3020200,2018
d2703180,t3020301,2018
d2706240,t3020301,2018
d2725200,t3020301,2018
d2725200,t3020302,2018
d2725200,t3020303,2018
d2706240,t3020304,2018
d2725200,t3020304,2018
d2731780,t3020304,2018
d2731780,t3020400,2018
d2706240,t3020500,2018
d2706240,t3020600,2018
d2731780,t3020700,2018
d2731780,t3020801,2018
d2731780,t3020804,2018
d2731780,t3020902,2018
d2731780,t3020903,2018
d2731780,t3021001,2018
d2731780,t3021002,2018
d2731780,t3021100,2018
d2721240,t3021200,2018
d2731780,t3021200,2018
d2731780,t3021300,2018
d2721240,t3021400,2018
d2731780,t3021400,2018
d2731780,t3021501,2018
d2731780,t3021502,2018
d2731780,t3021503,2018
d2731780,t3021504,2018
d2731780,t3021505,2018
d2714260,t3021601,2018
d2731780,t3021601,2018
d2731780,t3021602,2018
d2714260,t3021700,2018
d2731780,t3021700,2018
d2714260,t3021800,2018
d2714260,t3021900,2018
