name1,name2,date
t3023903,t3025903,2019
t3023903,t3024003,2019
t3023903,t3023901,2019
t3026716,t3026715,2019
t3026716,t3026714,2019
t3026716,t3026711,2019
t3110500,t3011998,2019
t3110500,t3980000,2019
t3110500,t3111100,2019
t3100400,t3000102,2019
t3100400,t3100800,2019
t3100400,t3100900,2019
t3100400,t3100700,2019
t3100400,t3100500,2019
t3100400,t3000300,2019
t3100400,t3100200,2019
t3001100,t3101200,2019
t3001100,t3000601,2019
t3001100,t3101800,2019
t3001100,t3101900,2019
t3026509,t3026510,2019
t3026509,t3026512,2019
t3026509,t3026508,2019
t3026509,t3026612,2019
t3026509,t3026505,2019
t3026509,t3026514,2019
t3026509,t3026511,2019
t3009600,t3009500,2019
t3009600,t3008500,2019
t3009600,t3110900,2019
t3009600,t3110100,2019
t3009600,t3011000,2019
t3009600,t3109700,2019
t3024902,t3024903,2019
t3024902,t3024801,2019
t3024902,t3024901,2019
t3024902,t3024700,2019
t3024902,t3980000,2019
t3023801,t3024006,2019
t3023801,t3111200,2019
t3023801,t3023700,2019
t3023801,t3023802,2019
t3023801,t3023901,2019
t3023801,t3024005,2019
t3023801,t3023600,2019
t3025605,t3024004,2019
t3025605,t3025702,2019
t3025605,t3025701,2019
t3025605,t3025903,2019
t3025605,t3025603,2019
t3025605,t3024003,2019
t3025603,t3025601,2019
t3025603,t3025702,2019
t3025603,t3024003,2019
t3025603,t3024300,2019
t3025603,t3024004,2019
t3000601,t3101800,2019
t3000601,t3101200,2019
t3000601,t3000603,2019
t3000601,t3100500,2019
t3026301,t3026302,2019
t3026301,t3026609,2019
t3026301,t3026610,2019
t3026301,t3026403,2019
t3026301,t3026507,2019
t3026301,t3027300,2019
t3021700,t3021800,2019
t3021700,t3021400,2019
t3021700,t3021001,2019
t3021700,t3102000,2019
t3021700,t3002700,2019
t3021700,t3021602,2019
t3021700,t3021002,2019
t3023700,t3023501,2019
t3023700,t3023502,2019
t3023700,t3024006,2019
t3023700,t3023600,2019
t3023700,t3023901,2019
t3026707,t3026910,2019
t3026707,t3026812,2019
t3026707,t3026702,2019
t3026707,t3026706,2019
t3026707,t3026708,2019
t3026707,t3026710,2019
t3026013,t3026005,2019
t3026013,t3026208,2019
t3026013,t3026014,2019
t3026013,t3026207,2019
t3007700,t3106700,2019
t3007700,t3008100,2019
t3007700,t3107000,2019
t3007700,t3106600,2019
t3007700,t3108000,2019
t3007700,t3007801,2019
t3007700,t3008200,2019
t3007700,t3008300,2019
t3125800,t3125900,2019
t3125800,t3126000,2019
t3125800,t3008400,2019
t3125800,t3005902,2019
t3125800,t3008500,2019
t3102000,t3002700,2019
t3102000,t3021200,2019
t3102000,t3102100,2019
t3102000,t3021400,2019
t3102000,t3101300,2019
