year,month,name,ppl_enrolled_snap
2016,1,t3026820,413
2016,1,t3026822,86
2016,1,t3026823,130
2016,1,t3026903,143
2016,1,t3026906,179
2016,1,t3026907,180
2016,1,t3026908,101
2016,1,t3026909,160
2016,1,t3026910,156
2016,1,t3027001,58
2016,1,t3027002,111
2016,1,t3027101,32
2016,1,t3027102,161
2016,1,t3027201,18
2016,1,t3027202,60
2016,1,t3027203,73
2016,1,t3027300,113
2016,1,t3027400,19
2016,1,t3027501,118
2016,1,t3027503,33
2016,1,t3027504,14
2016,1,t3027601,142
2016,1,t3027602,160
2016,1,t3027700,94
2016,1,t3031500,15
2016,1,t3031801,14
2016,1,t3051103,22
2016,1,t3051206,15
2016,1,t3051302,13
2016,1,t3100200,827
2016,1,t3100400,895
2016,1,t3100500,183
2016,1,t3100700,491
2016,1,t3100800,1169
2016,1,t3100900,1621
2016,1,t3101200,154
2016,1,t3101300,573
2016,1,t3101600,1024
2016,1,t3101800,562
2016,1,t3101900,434
2016,1,t3102000,631
2016,1,t3102100,996
2016,1,t3102300,503
2016,1,t3102500,375
2016,1,t3102600,248
2016,1,t3102800,1075
2016,1,t3102900,320
2016,1,t3103000,110
2016,1,t3103100,359
2016,1,t3103400,1007
2016,1,t3103600,55
2016,1,t3103700,314
2016,1,t3104000,511
2016,1,t3104100,782
2016,1,t3104400,550
2016,1,t3104800,2345
2016,1,t3104900,290
2016,1,t3105100,28
2016,1,t3105201,202
2016,1,t3105204,649
2016,1,t3105400,383
2016,1,t3105500,40
2016,1,t3105600,224
2016,1,t3105700,506
2016,1,t3106000,1115
2016,1,t3106200,757
2016,1,t3106400,422
2016,1,t3106500,17
2016,1,t3106600,11
2016,1,t3106700,120
2016,1,t3106900,267
2016,1,t3107000,466
2016,1,t3107400,286
2016,1,t3107500,78
2016,1,t3107600,112
2016,1,t3108000,42
2016,1,t3108600,365
2016,1,t3108700,305
2016,1,t3108800,507
2016,1,t3108900,61
2016,1,t3109000,36
2016,1,t3109100,54
2016,1,t3109200,108
2016,1,t3109300,279
2016,1,t3109400,260
2016,1,t3109700,217
2016,1,t3109800,40
2016,1,t3109900,100
2016,1,t3110000,264
2016,1,t3110100,131
2016,1,t3110200,142
2016,1,t3110400,258
2016,1,t3110500,87
2016,1,t3110800,167
2016,1,t3110900,252
2016,1,t3111100,111
2016,1,t3111200,13
2016,1,t3111300,62
2016,1,t3111400,46
2016,1,t3111500,205
2016,1,t3111600,50
2016,1,t3122500,214
2016,1,t3122600,43
2016,1,t3125500,387
2016,1,t3125600,44
2016,1,t3125700,1190
2016,1,t3125800,923
2016,1,t3125900,1195
2016,1,t3126000,1279
2016,1,t3126100,509
2016,1,t3126200,501
2016,1,t3980000,80
2016,2,t3000101,546
2016,2,t3000102,1040
2016,2,t3000300,335
2016,2,t3000601,312
2016,2,t3000603,71
2016,2,t3001100,239
2016,2,t3001700,446
2016,2,t3002200,560
2016,2,t3002400,306
2016,2,t3002700,616
2016,2,t3003200,478
2016,2,t3003300,753
2016,2,t3003800,68
2016,2,t3005901,857
2016,2,t3005902,988
2016,2,t3006800,328
2016,2,t3007700,419
2016,2,t3007801,425
2016,2,t3008100,56
2016,2,t3008200,835
2016,2,t3008300,345
2016,2,t3008400,413
2016,2,t3008500,558
2016,2,t3009500,369
2016,2,t3009600,263
2016,2,t3011000,154
2016,2,t3011703,23
2016,2,t3011704,78
2016,2,t3011800,121
2016,2,t3011998,151
2016,2,t3012001,109
2016,2,t3012003,556
2016,2,t3012101,528
2016,2,t3012102,148
2016,2,t3020101,27
2016,2,t3020102,84
2016,2,t3020200,1187
2016,2,t3020301,310
2016,2,t3020302,410
2016,2,t3020303,437
2016,2,t3020304,477
2016,2,t3020400,759
2016,2,t3020500,459
2016,2,t3020600,249
2016,2,t3020700,304
2016,2,t3020801,150
2016,2,t3020804,277
2016,2,t3020902,56
2016,2,t3020903,108
2016,2,t3021001,321
2016,2,t3021002,110
2016,2,t3021100,141
2016,2,t3021200,212
2016,2,t3021300,496
2016,2,t3021400,294
2016,2,t3021501,376
2016,2,t3021502,547
2016,2,t3021503,407
2016,2,t3021504,190
2016,2,t3021505,206
2016,2,t3021601,140
2016,2,t3021602,369
2016,2,t3021700,90
2016,2,t3021800,16
2016,2,t3021900,26
2016,2,t3022000,27
2016,2,t3022101,196
2016,2,t3022102,152
2016,2,t3022200,61
2016,2,t3022301,80
2016,2,t3022302,223
2016,2,t3022400,329
2016,2,t3022700,146
2016,2,t3022801,31
2016,2,t3022802,174
2016,2,t3022901,130
2016,2,t3023000,214
2016,2,t3023200,435
2016,2,t3023300,586
2016,2,t3023400,775
2016,2,t3023501,76
2016,2,t3023502,20
2016,2,t3023700,19
2016,2,t3023801,61
2016,2,t3023802,37
2016,2,t3023901,24
2016,2,t3023902,18
2016,2,t3023903,65
2016,2,t3024003,189
2016,2,t3024004,340
2016,2,t3024005,42
2016,2,t3024100,141
2016,2,t3024200,102
2016,2,t3024300,300
2016,2,t3024400,319
2016,2,t3024500,70
2016,2,t3024600,254
2016,2,t3024700,114
2016,2,t3024801,155
2016,2,t3024802,379
2016,2,t3024901,51
2016,2,t3024902,217
2016,2,t3024903,361
2016,2,t3025100,129
2016,2,t3025201,641
2016,2,t3025205,460
2016,2,t3025301,62
2016,2,t3025302,476
2016,2,t3025401,331
2016,2,t3025403,273
2016,2,t3025601,261
2016,2,t3025603,71
2016,2,t3025605,79
2016,2,t3025701,307
2016,2,t3025702,189
2016,2,t3025801,98
2016,2,t3025802,37
2016,2,t3025803,198
2016,2,t3025805,54
2016,2,t3025903,101
2016,2,t3025905,13
2016,2,t3025906,251
2016,2,t3025907,52
2016,2,t3026005,277
2016,2,t3026006,80
2016,2,t3026007,211
2016,2,t3026013,34
2016,2,t3026014,97
2016,2,t3026015,111
2016,2,t3026016,247
2016,2,t3026018,52
2016,2,t3026019,266
2016,2,t3026020,415
2016,2,t3026021,22
2016,2,t3026022,25
2016,2,t3026101,67
2016,2,t3026103,24
2016,2,t3026104,194
2016,2,t3026201,20
2016,2,t3026202,13
2016,2,t3026205,24
2016,2,t3026206,85
2016,2,t3026207,245
2016,2,t3026208,36
2016,2,t3026302,15
2016,2,t3026402,298
2016,2,t3026403,147
2016,2,t3026404,20
2016,2,t3026505,20
2016,2,t3026507,279
2016,2,t3026508,36
2016,2,t3026509,22
2016,2,t3026510,70
2016,2,t3026511,204
2016,2,t3026512,218
2016,2,t3026514,212
2016,2,t3026605,17
2016,2,t3026606,116
2016,2,t3026609,21
2016,2,t3026610,97
2016,2,t3026611,368
2016,2,t3026612,149
2016,2,t3026613,169
2016,2,t3026702,98
2016,2,t3026706,35
2016,2,t3026707,88
2016,2,t3026708,91
2016,2,t3026710,194
2016,2,t3026711,86
2016,2,t3026712,142
2016,2,t3026713,68
2016,2,t3026714,242
2016,2,t3026715,176
2016,2,t3026716,56
2016,2,t3026807,574
2016,2,t3026809,803
2016,2,t3026810,969
2016,2,t3026811,784
2016,2,t3026812,292
2016,2,t3026814,718
2016,2,t3026815,340
2016,2,t3026816,785
2016,2,t3026818,756
2016,2,t3026819,1086
2016,2,t3026820,403
2016,2,t3026822,80
2016,2,t3026823,120
2016,2,t3026903,140
2016,2,t3026906,187
2016,2,t3026907,176
2016,2,t3026908,129
2016,2,t3026909,150
2016,2,t3026910,160
2016,2,t3027001,54
2016,2,t3027002,107
2016,2,t3027101,37
2016,2,t3027102,150
2016,2,t3027201,19
2016,2,t3027202,63
2016,2,t3027203,73
2016,2,t3027300,113
2016,2,t3027400,16
2016,2,t3027501,120
2016,2,t3027503,29
2016,2,t3027504,13
2016,2,t3027601,132
2016,2,t3027602,156
2016,2,t3027700,100
2016,2,t3031500,16
2016,2,t3031701,10
2016,2,t3031801,14
2016,2,t3051103,18
2016,2,t3051206,11
2016,2,t3051302,15
2016,2,t3100200,816
2016,2,t3100400,895
2016,2,t3100500,179
2016,2,t3100700,504
2016,2,t3100800,1149
2016,2,t3100900,1569
2016,2,t3101200,153
2016,2,t3101300,547
2016,2,t3101600,1057
2016,2,t3101800,537
2016,2,t3101900,409
2016,2,t3102000,631
2016,2,t3102100,984
2016,2,t3102300,530
2016,2,t3102500,388
2016,2,t3102600,241
2016,2,t3102800,1082
2016,2,t3102900,306
2016,2,t3103000,110
2016,2,t3103100,340
2016,2,t3103400,973
2016,2,t3103600,55
2016,2,t3103700,330
2016,2,t3104000,495
2016,2,t3104100,742
2016,2,t3104400,524
