name,date,total_pop,median_age,male_perc,female_perc,white_perc,black_perc,asian_perc,other_perc,employed_perc,unemployed_perc,income_below_poverty_perc,income_median,income_mean,k_12_perc,college_undergrad_perc,total_pop_above_25_w_bach_degree_perc,stem_degree_perc,stem_related_degree_perc,business_degree_perc,education_degree_perc,humanities_degree_perc,healthInsured_perc,mean_travel_work,occupied_housing_units,owned_housing_units,rented_housing_units,life_expectancy,total_enrolled_SNAP,asian_SNAP_enrollment_perc,black_SNAP_enrollment_perc,other_SNAP_enrollment_perc,white_SNAP_enrollment_perc,hdi_index,num_households,single_parent_households,mobile_home_households,no_HS_diploma_households,no_vehicle_households,limited_english_households,eviction_filings,eviction_rate_perc,hl_binge_drinking_prev,hl_high_blood_pressure_prev,hl_cancer_prev,hl_asthma_prev,hl_heart_disease_prev,hl_doctor_visits_prev,hl_smoking_prev,hl_dentist_visits_prev,hl_kidney_disease_prev,hl_poor_mental_health_prev,hl_obesity_prev,hl_poor_sleep_prev,hl_stroke_prev,hs_subsidized_units,hl_VA_health_coverage,hl_public_coverage,hl_medicare_coverage,hl_private_coverage,inc_no_internet_households,inc_internet_households,hs_median_rent,acs_SNAP_household_total,acs_SNAP_household_white,acs_SNAP_household_black,acs_SNAP_household_Asian
t3002200,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3002200,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3002200,2018,1515.0,23.0,38.0,62.0,20.0,39.0,25.0,9.0,53.0,9.0,46.0,43542.0,47192.0,79.0,12.0,60.0,33.0,7.0,43.0,12.0,5.0,84.0,27.0,387.0,124.0,263.0,,5668.0,19.0,58.0,13.0,8.0,,387.0,94.0,7.0,118.0,50.0,111.0,23.0,57.0,17.2,27.7,3.8,9.7,4.6,69.2,24.1,48.3,3.0,15.0,33.2,39.7,3.3,61.0,8.0,712.0,69.0,535.0,311.0,1204.0,1123.0,172.0,28.0,92.0,44.0
t3002200,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3002400,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3002400,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3002400,2018,2401.0,32.0,54.0,46.0,75.0,18.0,2.0,1.0,80.0,2.0,22.0,48304.0,77729.0,35.0,38.0,718.0,39.0,4.0,6.0,13.0,38.0,90.0,20.0,1230.0,325.0,905.0,78.0,2681.0,,71.0,0.0,28.0,5.21,1230.0,124.0,0.0,117.0,82.0,85.0,21.0,43.0,24.9,20.9,4.6,8.0,3.7,65.1,16.9,69.1,2.2,11.4,27.3,30.7,2.1,147.0,67.0,653.0,274.0,1463.0,383.0,2009.0,1005.0,120.0,32.0,56.0,0.0
t3002400,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3002700,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3002700,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,
