cityId1,cityId2,date
c5355186,c5340166,2018
c5355186,c5313168,2018
c5314158,c5307966,2018
c5314158,c5324308,2018
c5314158,c5307948,2018
c5314158,c5354808,2018
c5314158,c5345628,2018
c5344476,c5360016,2018
c5368818,c5360016,2018
c5368818,c5351730,2018
c5368818,c5343252,2018
c5306616,c5318116,2018
c5343252,c5315148,2018
c5343252,c5360016,2018
c5343252,c5351730,2018
c5343252,c5318116,2018
c5343252,c5357220,2018
c5313168,c5340166,2018
c5360016,c5320078,2018
c5360016,c5315148,2018
c5345628,c5340166,2018
c5345628,c5307966,2018
c5345628,c5324308,2018
c5345628,c5351730,2018
c5307948,c5354808,2018
c5307948,c5307966,2018
c5349012,c5340166,2018
c5349012,c5307966,2018
c5307966,c5340166,2018
c5307966,c5351730,2018
c5307966,c5310846,2018
c5351730,c5340166,2018
c5351730,c5324308,2018
c5351730,c5357220,2018
c5357220,c5324308,2018
c5310846,c5340166,2018
c5354808,c5324308,2018
c5343306,c5360016,2017
c5343306,c5330842,2017
c5343306,c5344476,2017
c5343306,c5348580,2017
c5348580,c5368818,2017
c5348580,c5343270,2017
c5348580,c5330842,2017
c5348580,c5351730,2017
c5348580,c5341480,2017
c5348580,c5338006,2017
c5348580,c5344476,2017
c5348580,c5360016,2017
c5325622,c5330842,2017
c5325622,c5341480,2017
c5325622,c5313168,2017
c5341480,c5330842,2017
c5341480,c5340166,2017
c5341480,c5351730,2017
c5341480,c5313168,2017
c5330140,c5318188,2017
c5330140,c5343252,2017
c5330140,c5357220,2017
c5315022,c5340166,2017
c5315022,c5355186,2017
c5315022,c5313168,2017
c5315022,c5310846,2017
c5318188,c5343000,2017
c5318188,c5343252,2017
c5318188,c5318116,2017
c5318188,c5357220,2017
c5318188,c5306616,2017
c5318188,c5354214,2017
c5354214,c5343000,2017
c5354214,c5306616,2017
c5330842,c5313168,2017
c5343000,c5354808,2017
c5343000,c5357220,2017
c5343000,c5324308,2017
c5343000,c5356680,2017
c5343000,c5307948,2017
c5355186,c5340166,2017
c5355186,c5313168,2017
c5314158,c5307966,2017
c5314158,c5324308,2017
c5314158,c5307948,2017
c5314158,c5354808,2017
c5314158,c5345628,2017
c5344476,c5360016,2017
c5368818,c5360016,2017
c5368818,c5351730,2017
c5368818,c5343252,2017
c5306616,c5318116,2017
c5343252,c5315148,2017
c5343252,c5360016,2017
c5343252,c5351730,2017
c5343252,c5318116,2017
c5343252,c5357220,2017
c5313168,c5340166,2017
c5360016,c5320078,2017
c5360016,c5315148,2017
c5345628,c5340166,2017
c5345628,c5307966,2017
c5345628,c5324308,2017
c5345628,c5351730,2017
c5307948,c5354808,2017
c5307948,c5307966,2017
c5349012,c5340166,2017
c5349012,c5307966,2017
c5307966,c5340166,2017
c5307966,c5351730,2017
c5307966,c5310846,2017
c5351730,c5340166,2017
c5351730,c5324308,2017
c5351730,c5357220,2017
c5357220,c5324308,2017
c5310846,c5340166,2017
c5354808,c5324308,2017
c5343306,c5360016,2016
c5343306,c5330842,2016
c5343306,c5344476,2016
c5343306,c5348580,2016
c5348580,c5368818,2016
c5348580,c5343270,2016
c5348580,c5330842,2016
c5348580,c5351730,2016
c5348580,c5341480,2016
c5348580,c5338006,2016
c5348580,c5344476,2016
c5348580,c5360016,2016
c5325622,c5330842,2016
c5325622,c5341480,2016
c5325622,c5313168,2016
c5341480,c5330842,2016
c5341480,c5340166,2016
c5341480,c5351730,2016
c5341480,c5313168,2016
c5330140,c5318188,2016
c5330140,c5343252,2016
c5330140,c5357220,2016
c5315022,c5340166,2016
c5315022,c5355186,2016
c5315022,c5313168,2016
c5315022,c5310846,2016
c5318188,c5343000,2016
c5318188,c5343252,2016
c5318188,c5318116,2016
c5318188,c5357220,2016
c5318188,c5306616,2016
c5318188,c5354214,2016
c5354214,c5343000,2016
c5354214,c5306616,2016
c5330842,c5313168,2016
c5343000,c5354808,2016
c5343000,c5357220,2016
c5343000,c5324308,2016
c5343000,c5356680,2016
c5343000,c5307948,2016
c5355186,c5340166,2016
c5355186,c5313168,2016
c5314158,c5307966,2016
c5314158,c5324308,2016
c5314158,c5307948,2016
c5314158,c5354808,2016
c5314158,c5345628,2016
c5344476,c5360016,2016
c5368818,c5360016,2016
c5368818,c5351730,2016
c5368818,c5343252,2016
c5306616,c5318116,2016
c5343252,c5315148,2016
c5343252,c5360016,2016
c5343252,c5351730,2016
c5343252,c5318116,2016
c5343252,c5357220,2016
c5313168,c5340166,2016
c5360016,c5320078,2016
c5360016,c5315148,2016
c5345628,c5340166,2016
c5345628,c5307966,2016
c5345628,c5324308,2016
c5345628,c5351730,2016
c5307948,c5354808,2016
c5307948,c5307966,2016
c5349012,c5340166,2016
c5349012,c5307966,2016
c5307966,c5340166,2016
c5307966,c5351730,2016
c5307966,c5310846,2016
c5351730,c5340166,2016
c5351730,c5324308,2016
c5351730,c5357220,2016
c5357220,c5324308,2016
c5310846,c5340166,2016
c5354808,c5324308,2016
