neighborhoodId,name,longitude,latitude,date,total_cases,arson_perc,theft_perc,assault_perc,murder_perc,rape_perc
n270530168,central,-93.27,44.94,2018,118,2,86,11,0,1
n270530169,marshall terrace,-93.27,45.01,2018,26,0,88,12,0,0
n270530170,lind - bohanon,-93.29,45.05,2018,92,0,77,22,0,1
n270530171,downtown west,-93.27,44.97,2018,683,0,89,9,0,2
n270530172,near - north,-93.3,44.99,2018,191,1,82,15,1,2
n270530173,elliot park,-93.26,44.97,2018,162,0,85,9,0,7
n270530174,page,-93.26,44.91,2018,7,0,86,0,0,14
n270530175,kenwood,-93.31,44.96,2017,41,0,98,2,0,0
n270530176,seward,-93.23,44.96,2017,415,1,91,8,0,0
n270530177,webber - camden,-93.31,45.04,2017,309,1,82,16,0,2
n270530178,columbia park,-93.25,45.03,2017,58,0,93,5,0,2
n270530179,cooper,-93.21,44.95,2017,113,0,99,1,0,0
n270530180,ericsson,-93.25,44.93,2017,107,0,98,1,1,0
n270530181,st. anthony west,-93.26,44.99,2017,65,0,97,2,0,2
n270530182,morris park,-93.21,44.9,2017,62,0,89,8,0,3
n270530183,minnehaha,-93.22,44.91,2017,131,0,95,3,0,2
n270530184,armatage,-93.32,44.91,2017,105,0,99,1,0,0
n270530185,hawthorne,-93.29,45,2017,465,2,78,19,0,2
n270530186,east isles,-93.3,44.96,2017,278,0,96,3,0,1
n270530187,keewaydin,-93.24,44.91,2017,101,0,99,1,0,0
n270530188,sumner - glenwood,-93.29,44.99,2017,80,1,81,15,0,2
n270530189,ventura village,-93.25,44.96,2017,402,2,81,14,0,3
n270530190,downtown east,-93.26,44.98,2017,226,0,98,2,0,0
n270530191,holland,-93.26,45.01,2017,191,0,92,6,0,2
n270530192,hiawatha,-93.2,44.93,2017,241,0,98,2,0,0
n270530193,regina,-93.27,44.92,2017,72,4,86,10,0,0
n270530194,audubon park,-93.24,45.02,2017,159,1,96,3,0,0
n270530195,west calhoun,-93.32,44.94,2017,110,0,95,4,0,2
n270530196,mckinley,-93.29,45.02,2017,218,2,78,17,1,2
n270530197,midtown phillips,-93.26,44.96,2017,383,1,85,11,0,4
n270530198,hale,-93.25,44.91,2017,61,0,93,7,0,0
n270530199,lyndale,-93.28,44.94,2017,436,0,91,7,0,2
n270530200,howe,-93.22,44.94,2017,242,0,97,2,0,0
n270530201,bottineau,-93.27,45.01,2017,54,0,91,4,0,6
n270530202,northrop,-93.26,44.92,2017,203,0,98,2,0,0
n270530203,lowry hill east,-93.29,44.95,2017,593,0,94,4,0,1
n270530204,university of minnesota,-93.23,44.98,2017,124,0,94,3,0,2
n270530205,stevens square - loring heights,-93.27,44.96,2017,247,0,87,11,0,1
n270530206,windom,-93.28,44.9,2017,162,1,94,4,0,1
n270530207,linden hills,-93.31,44.93,2017,164,0,99,1,0,0
n270530208,north loop,-93.28,44.98,2017,462,0,95,3,0,2
n270530209,field,-93.27,44.91,2017,82,0,95,5,0,0
n270530210,mid - city industrial,-93.22,44.99,2017,71,0,97,3,0,0
n270530211,whittier,-93.29,44.96,2017,917,1,90,9,0,1
n270530212,standish,-93.25,44.93,2017,232,0,96,3,0,1
n270530213,cedar - isles - dean,-93.33,44.95,2017,124,1,98,1,0,1
n270530214,sheridan,-93.27,45.01,2017,103,0,94,5,0,1
n270530215,powderhorn park,-93.25,44.94,2017,466,0,91,8,0,1
n270530216,loring park,-93.29,44.97,2017,516,0,92,7,0,1
n270530217,wenonah,-93.23,44.9,2017,145,1,86,12,1,1
n270530218,bancroft,-93.25,44.93,2017,141,1,94,5,0,1
n270530219,willard - hay,-93.31,44.99,2017,433,3,74,20,0,3
n270530220,st. anthony east,-93.26,45,2017,75,0,85,15,0,0
n270530221,king field,-93.28,44.92,2017,272,0,96,4,0,0
n270530222,diamond lake,-93.27,44.89,2017,131,0,95,4,0,1
n270530223,nicollet island - east bank,-93.26,44.99,2017,108,0,93,6,0,1
