,Neighborhood,Lat,Long
252,LINDEN HILLS,44.92614482,-93.32524977
253,VENTURA VILLAGE,44.96003306,-93.25111591
255,WEBBER - CAMDEN,45.03035019,-93.29954219
256,DOWNTOWN WEST,44.972894000000004,-93.27369104
259,MCKINLEY,45.02121985,-93.28930404
261,CAMDEN INDUSTRIAL,45.03391455,-93.28810946
262,PROSPECT PARK - EAST RIVER ROAD,44.97217803,-93.22146297
263,MARCY HOLMES,44.98283425,-93.25142606
265,KING FIELD,44.92049597,-93.28444158
266,NEAR - NORTH,44.99149757,-93.30007128
267,SHINGLE CREEK,45.050310700000004,-93.30809032
268,HAWTHORNE,44.99915292,-93.29335076
269,NORTHEAST PARK,45.00363907,-93.22883412
270,LOWRY HILL EAST,44.95822548,-93.28929585
271,PROSPECT PARK - EAST RIVER ROAD,44.97386848,-93.21921297
272,HAWTHORNE,45.00368531,-93.28569177
273,SEWARD,44.96336742,-93.24091925
274,LOWRY HILL,44.96181856,-93.29563771
276,WHITTIER,44.94835457,-93.28218485
279,COMO,44.98490708,-93.21778345
280,POWDERHORN PARK,44.94564169,-93.2537573
281,SEWARD,44.96275,-93.23775
283,FIELD,44.91520327,-93.26263399999999
284,JORDAN,45.01325044,-93.30760706
285,NEAR - NORTH,44.98879004,-93.30322104
286,HIAWATHA,44.92059183,-93.21921931
287,COMO,44.990518,-93.22821268
288,NORTH LOOP,44.98816666,-93.27760082
289,WHITTIER,44.95463157,-93.27278226
290,POWDERHORN PARK,44.94835805,-93.26204108
291,CLEVELAND,45.02499943,-93.31218091
292,EAST PHILLIPS,44.948370000000004,-93.24996
293,CLEVELAND,45.01415697,-93.31588561
295,VICTORY,45.03042345,-93.31484825
296,LOWRY HILL,44.96592848,-93.29944549999999
297,VENTURA VILLAGE,44.96181292,-93.25109234
298,HARRISON,44.98346605,-93.30830167
299,MARCY HOLMES,44.98119983,-93.23430434
300,BRYN - MAWR,44.97405907,-93.30376499
301,CORCORAN,44.93863418,-93.23466607
302,EAST PHILLIPS,44.95464095,-93.25244421
303,WHITTIER,44.95822019,-93.28128103
304,MCKINLEY,45.01402269,-93.29054001
305,COLUMBIA PARK,45.03554559,-93.25772540000001
306,CENTRAL,44.94835398,-93.27222526
307,LORING PARK,44.96825706,-93.28083832
308,REGINA,44.92331,-93.2702
309,HAWTHORNE,45.001490000000004,-93.28952
310,MARCY HOLMES,44.98449,-93.24905
311,HAWTHORNE,44.99913277,-93.28529706
313,JORDAN,45.00151141,-93.29640438
314,REGINA,44.92242643,-93.26763325
317,HOLLAND,45.01406926,-93.25672309
318,WILLARD - HAY,44.99876,-93.30821
319,LORING PARK,44.96536647,-93.2847565
321,LONGFELLOW,44.94926366,-93.23474188
323,HARRISON,44.97896389,-93.29352758
325,CEDAR RIVERSIDE,44.96987437,-93.24645242
326,PHILLIPS WEST,44.95063475,-93.26265117
327,NORTH LOOP,44.98717165,-93.27623838
328,LOWRY HILL EAST,44.94881103,-93.29827927
329,BRYANT,44.93054,-93.26884
