name,total_pop,median_age,male_perc,female_perc,white_perc,black_perc,asian_perc,other_perc,employed_perc,unemployed_perc,income_below_poverty_perc,income_median,income_mean,k_12_perc,college_undergrad_perc,total_pop_above_25_w_bach_degree_perc,stem_degree_perc,stem_related_degree_perc,business_degree_perc,education_degree_perc,humanities_degree_perc,healthInsured_perc,households_on_SNAP_perc,mean_travel_work,occupied_housing_units,owned_housing_units,rented_housing_units
t3103700,4196,28,50,50,78,10,6,0,75,5,25,36000,63476,12,56,1351,46,3,10,5,36,95,17,19,2133,347,1786
t3103900,3813,21,53,47,74,9,11,1,60,6,72,23018,33786,1,89,306,69,0,8,0,23,100,4,16,1174,17,1157
t3104000,6414,25,49,51,72,9,15,1,75,4,43,39514,55102,14,63,1989,59,6,6,7,21,94,16,23,2358,473,1885
t3104100,3627,30,52,48,47,26,13,3,70,2,20,40486,57740,62,27,741,21,5,21,6,47,93,26,22,1256,477,779
t3104400,2149,36,67,33,64,21,9,1,65,6,35,59500,72407,15,35,984,46,4,32,0,18,91,13,19,1144,131,1013
t3104800,10065,21,49,51,32,51,12,1,54,8,46,20126,29643,25,66,988,44,3,23,4,26,94,39,20,3392,375,3017
t3104900,11386,20,51,49,65,8,21,1,48,6,67,21557,34636,4,90,777,67,7,14,1,11,98,17,19,1990,198,1792
t3105100,2883,45,52,48,89,2,2,1,73,2,5,105000,142476,65,7,1578,41,5,15,9,30,98,1,22,1283,1184,99
t3105201,2948,36,51,49,83,4,7,2,75,0,12,56483,82266,10,40,1938,33,7,18,9,34,95,12,20,2000,482,1518
t3105204,2693,32,56,44,56,28,5,1,66,6,29,22271,51157,41,41,1076,51,3,9,2,36,92,28,21,1838,244,1594
t3105400,3476,31,57,43,60,26,8,1,68,8,32,46008,80800,8,79,1278,40,3,31,5,21,94,23,22,1796,505,1291
t3105500,3896,37,54,46,84,4,4,3,76,2,5,78412,153534,41,20,2471,46,2,14,6,32,96,4,22,2300,983,1317
t3105600,4467,32,53,47,79,11,6,1,82,3,13,40842,66027,16,51,2213,32,7,17,7,37,95,11,24,3209,589,2620
t3105700,2738,31,56,44,57,27,3,1,71,2,43,22250,33827,16,50,878,44,5,22,4,24,89,27,26,2068,243,1825
t3106000,3063,31,45,55,18,57,3,12,54,4,45,17551,29178,67,23,350,33,14,5,7,41,86,56,21,1210,181,1029
t3106200,4084,31,56,45,36,60,2,0,66,8,43,29426,51415,48,31,1086,33,4,6,6,51,93,33,21,1906,290,1616
t3106400,1872,38,47,53,54,43,1,0,62,6,34,28750,58505,51,23,748,40,5,4,5,46,92,25,20,1007,367,640
t3106500,4255,47,48,52,92,1,4,1,70,2,2,116058,206780,56,10,2830,41,8,16,7,28,97,3,22,2178,1182,996
t3106600,2652,36,43,57,87,0,3,3,75,4,6,96645,151178,41,20,1579,52,5,12,3,29,98,0,24,1219,648,571
t3106700,4585,30,59,41,84,7,3,2,84,3,8,55875,72127,14,38,2084,46,6,16,3,31,95,9,23,2714,648,2066
t3106900,2602,29,50,50,69,20,6,0,66,7,31,35387,46414,7,74,680,42,9,9,2,38,94,11,23,1409,125,1284
t3107000,4012,32,63,37,56,19,2,17,80,2,18,37776,54792,49,18,1040,45,5,7,7,36,86,22,26,1888,324,1564
t3107400,1969,34,52,48,55,19,2,14,68,5,25,46917,58592,72,14,487,36,2,4,8,50,93,18,21,799,408,391
t3107500,1900,37,49,51,88,3,2,2,74,2,9,65694,81660,46,27,900,41,5,7,9,38,92,6,24,864,570,294
t3107600,3701,41,47,53,81,1,5,9,76,4,4,74622,93998,68,10,1602,37,12,5,11,36,98,3,23,1596,1233,363
t3108000,3264,31,54,46,93,2,2,0,88,1,3,78210,109655,37,29,2196,40,5,21,2,31,97,1,25,1903,559,1344
t3108600,2998,33,53,47,62,16,1,16,79,3,24,47917,58212,67,19,609,32,5,13,9,41,85,16,24,1026,616,410
t3108700,3840,37,52,48,65,18,4,2,68,3,12,65511,68244,56,24,1063,47,6,9,5,33,95,7,23,1528,963,565
t3108800,3453,40,55,45,65,18,4,7,66,4,19,45156,55524,58,23,1023,44,11,10,8,27,89,21,23,1709,798,911
t3108900,2241,45,51,49,83,5,2,0,73,5,8,79116,85830,78,11,940,35,10,8,12,35,99,7,22,990,857,133
t3109000,1718,48,49,51,93,1,2,1,74,2,1,86786,102303,66,11,877,36,9,10,7,39,98,5,22,802,756,46
t3109100,4862,34,47,53,92,3,3,0,81,4,6,70758,114763,36,24,2345,32,4,23,8,34,95,4,25,2769,1094,1675
t3109200,3451,34,48,52,85,6,2,2,74,0,7,53238,70381,25,40,1487,34,5,14,5,41,97,3,23,1865,462,1403
t3109300,4138,35,49,51,74,8,4,9,81,3,13,60287,81958,49,26,1747,42,7,10,4,38,91,7,23,1922,804,1118
t3109400,2163,28,46,54,49,22,6,12,71,9,26,46417,66350,65,23,266,41,6,3,22,27,85,26,23,606,236,370
t3109700,2511,35,48,52,67,14,1,6,77,5,7,67716,82835,61,19,789,35,5,6,9,46,89,14,26,900,561,339
t3109800,4203,38,50,50,89,5,3,0,73,2,9,103226,138797,69,10,2106,36,7,19,5,33,100,3,22,1689,1235,454
t3109900,3760,36,50,51,85,2,4,4,80,3,6,79475,106742,59,16,1833,37,6,12,7,39,96,4,24,1672,1057,615
t3110000,1987,28,52,48,34,32,5,24,71,9,31,62109,73882,69,18,269,31,7,19,12,32,93,24,26,565,326,239
t3110100,2737,35,53,47,74,7,1,6,79,4,6,63229,73111,70,20,844,41,8,7,4,41,96,12,24,1265,964,301
t3110200,3442,39,50,50,86,2,1,6,77,2,3,83197,93856,54,21,1625,37,9,12,9,33,97,5,23,1501,1368,133
t3110400,3435,35,49,51,72,24,2,0,77,4,23,57232,66265,75,8,1010,31,6,8,3,52,95,11,22,1455,931,524
t3110500,4639,40,50,50,86,5,4,0,70,2,8,76031,97444,58,8,2286,39,5,12,9,36,98,2,24,2260,1579,681
t3110800,4522,35,46,54,86,6,3,2,79,2,3,84566,108575,62,17,2094,41,6,13,7,33,97,3,23,1921,1447,474
t3110900,3385,34,47,53,64,20,5,9,75,2,7,86196,93403,59,23,1302,35,8,24,8,26,94,4,24,1340,1134,206
t3111100,3472,38,51,49,85,5,3,4,77,2,6,79122,91460,60,15,1554,38,5,15,8,34,95,3,23,1535,1202,333
t3111200,3276,41,48,52,94,1,3,0,70,2,4,133464,153451,64,13,1712,35,7,20,6,32,99,1,22,1376,1169,207
t3111300,4930,39,49,52,87,4,3,0,74,2,5,130363,150758,77,8,2729,45,7,15,9,24,99,4,25,1903,1688,215
t3111400,4231,39,47,53,89,4,5,0,77,1,4,136188,168111,76,7,2123,39,7,18,6,29,99,3,23,1494,1428,66
t3111500,5453,40,49,51,89,5,1,1,73,3,1,100489,131711,66,15,2557,36,11,17,7,29,98,3,22,2214,1664,550
t3111600,3285,40,50,50,84,13,1,1,75,3,7,115962,141505,69,8,1745,35,9,14,8,35,99,4,22,1299,1209,90
t3122500,3469,32,49,51,78,8,5,0,80,1,7,69531,80149,62,21,1323,30,11,27,7,26,98,11,23,1595,1002,593
t3122600,2301,35,46,54,94,1,2,0,83,1,3,95788,101831,61,9,1111,40,7,23,8,23,99,5,21,1027,866,161
t3125500,3817,38,47,53,73,13,5,4,68,2,14,48406,61720,75,21,707,22,6,24,20,29,98,8,21,1659,1096,563
t3125600,3685,26,52,48,73,4,16,1,69,3,19,67868,89033,19,52,1503,46,4,10,7,32,92,4,23,1424,646,778
t3125700,3723,25,50,50,16,46,20,10,60,11,31,36164,48783,74,18,330,49,6,11,6,28,94,29,24,1040,528,512
t3125800,5319,30,50,50,40,37,4,16,66,5,22,50954,59985,68,20,997,28,8,14,18,32,84,24,22,1572,514,1058
t3125900,4871,27,50,50,24,30,8,22,62,4,34,43355,51192,73,17,555,30,10,3,2,55,86,27,26,1293,545,748
t3126000,5457,29,51,50,26,53,1,14,54,5,47,18995,35351,71,19,619,33,14,13,15,25,86,47,26,2155,255,1900
t3126100,7724,35,54,46,59,23,12,0,61,4,20,73900,119375,36,30,3296,49,4,28,3,17,94,12,21,4052,1525,2527
t3126200,6164,34,54,46,76,14,4,1,79,4,15,104832,140922,51,11,3659,41,8,19,4,29,98,5,21,3677,1217,2460
t3980000,255,52,68,32,74,23,0,2,47,10,25,17083,19647,84,10,13,39,0,0,0,62,71,25,36,181,8,173
