tractID,mean,standard_error
t3030400,78.8,1.9743
t3030500,75,1.2292
t3030601,78.4,2.7722
t3030602,80.9,1.2895
t3030702,79.4,1.5793
t3030703,78.8,1.7641
t3030704,72.8,1.4121
t3030800,74.5,1.1143
t3030900,75.2,1.8135
t3031000,72.3,2.7734
t3031100,79.1,2.0001
t3031200,80.9,2.6489
t3031300,72.4,2.2968
t3031400,71.4,1.9834
t3031500,72.9,2.1462
t3031600,76.6,2.0678
t3031701,73.1,1.5741
t3031702,74.7,1.3336
t3031801,75.1,1.5983
t3031802,77.9,1.1363
t3031900,77.2,2.3304
t3032000,79.1,2.1972
t3032100,80.7,2.0041
t3032200,79.3,2.1587
t3032300,77.3,1.4449
t3032400,77.5,2.6832
t3032600,77.6,2.868
t3032700,73.1,1.6229
t3033000,75.4,2.3417
t3033100,71.9,2.617
t3033200,74.3,1.4097
t3033300,81.1,1.63
t3033400,76.4,2.4953
t3033500,74,1.6245
t3033700,64.8,1.7124
t3033800,76.6,2.3778
t3033900,78.6,1.6047
t3034000,78.6,1.5274
t3034202,79.7,2.7081
t3034400,73.6,1.951
t3034500,77.2,2.5016
t3034601,74.7,1.1462
t3034602,76.8,1.1506
t3034701,74.1,1.5756
t3034702,76.1,1.2647
t3034900,83.9,3.1076
t3035000,81.6,2.388
t3035100,80.9,1.3294
t3035200,83.3,3.0109
t3035300,80.7,1.1703
t3035500,78.4,3.0643
t3035700,81.4,3.481
t3035800,86.4,3.771
t3036100,76,1.7273
t3036300,82.2,1.3309
t3036400,80.7,0.962
t3036500,81.5,1.8445
t3036600,84.9,1.8958
t3036700,78.6,1.1972
t3036800,73.5,1.3739
t3036900,80.9,2.8272
t3037000,78.9,2.4746
t3037100,75.9,1.2158
t3037200,82.2,3.0231
t3037402,77.5,0.8852
t3037403,79.8,2.0158
t3037500,82.7,1.5806
t3037601,80.4,1.2561
t3037602,79,1.359
t3040100,81.1,1.8302
t3040200,82.7,2.4323
t3040301,83.6,2.1146
t3040302,82.2,1.7813
t3040401,80.6,1.5909
t3040402,83.4,2.6054
t3040502,75.6,2.2095
t3040503,84.3,2.0025
t3040504,77,1.2341
t3040601,84.5,1.2949
t3040603,85.8,3.2409
t3040604,85.4,2.2962
t3040703,85.9,2.1034
t3040704,81.6,1.6717
t3040705,83.5,2.3856
t3040706,81.8,1.2172
t3040707,84.1,1.6865
t3040801,85.9,3.0697
t3040803,80.4,0.8476
t3040901,80,2.3767
t3040902,76.4,1.2873
t3041001,83.6,1.9367
t3041002,81.6,2.0156
t3041103,77.8,1.1411
t3041104,80.1,1.1731
t3041105,84.4,2.2127
t3041106,83.2,2.4026
t3041107,83,2.2143
t3041200,76.8,1.1468
t3041301,85,2.8836
t3041302,80.2,1.1346
t3041400,83.7,1.4118
t3041500,78.8,0.8952
t3041601,82.9,2.2381
t3041602,84.4,1.9862
t3041700,80.6,1.6785
t3041800,83.7,1.9162
t3041900,82.9,1.8184
t3042001,79.6,0.9703
t3042002,87.2,3.8757
t3042101,83.3,2.9798
t3042102,83.8,2.4429
t3042201,82.3,3.5304
t3042202,79.8,1.3367
t3042301,83.3,2.4201
t3042302,78.7,0.9996
t3042401,82.8,1.2702
t3042402,73.7,1.5001
t3042501,77.3,1.2464
t3042503,83.1,3.6291
t3042504,79.7,1.5136
t3042601,79.7,1.6054
t3042602,83.2,2.5132
t3042700,80.1,1.9177
t3042800,76.8,2.6075
t3042900,83.8,3.3073
t3043000,83.7,1.2154
t3050107,80.2,2.8459
t3050108,81.9,3.6909
t3050109,79.6,1.5213
t3050110,79.6,1.9407
t3050111,79.7,1.4118
t3050114,85,3.9519
t3050115,86.7,3.9202
t3050116,79.6,1.4978
t3050208,79.4,2.6148
t3050210,84.8,3.0229
t3050215,82.5,1.9062
t3050217,80.2,2.7427
t3050218,80,1.8894
t3050220,80.8,2.5813
t3050221,81.8,2.3179
t3050222,78.5,2.1107
t3050223,80,2.5253
t3050224,80,1.5107
t3050225,82.6,3.3711
t3050226,80,3.2588
t3050227,79,1.8139
t3050228,79.1,1.473
t3050229,85.4,3.7519
t3050232,84.2,3.1679
t3050233,80,2.1865
t3050234,79,2.329
t3050235,78.9,3.0404
t3050236,81.4,2.2125
t3050237,80.2,1.9622
t3050401,81.3,3.7141
t3050402,75.5,1.9189
t3050501,80.7,1.637
t3050504,79.2,1.6435
t3050505,78.7,1.262
t3050602,82.2,2.8726
t3050605,77.8,1.5882
t3050606,77.2,1.4823
t3050607,78.6,1.2648
