CityId,City,Year,num_of_cases_total,num_of_case_gender_Male,num_of_case_gender_Female,num_of_case_gender_Unknown,num_of_case_race_Black or African American,num_of_case_race_White,num_of_case_race_Asian,num_of_case_race_Unknown,num_of_case_race_Native American,num_of_case_group_Adult,num_of_case_group_Juvenile,num_of_case_level_Unknown,num_of_case_level_Felony,num_of_case_level_Gross Misdemeanor,num_of_case_level_Misdemeanor,num_of_case_level_Juvenile Petty Offense,num_of_case_level_Petty Misdemeanor,num_of_case_level_Juvenile Traffic Offense
c5343270,Minnetonka Beach,2017,6,5,1,,,3,,3,,1,5,1,,,2,1,,2
c5343270,Minnetonka Beach,2018,5,4,1,,1,4,,,,5,,,5,,,,,
c5343270,Minnetonka Beach,2019,7,6,1,,2,1,,4,,3,4,,2,,5,,,
c5343306,Minnetrista,2015,52,44,8,,2,37,,13,,27,25,11,17,2,9,8,5,
c5343306,Minnetrista,2016,35,27,8,,2,22,,11,,12,23,5,11,4,4,8,1,2
c5343306,Minnetrista,2017,50,37,13,,7,20,,23,,21,29,13,16,2,7,5,1,6
c5343306,Minnetrista,2018,43,30,13,,9,23,,11,,20,23,6,16,2,8,8,1,2
c5343306,Minnetrista,2019,40,21,19,,2,26,,11,1,17,23,9,12,6,6,4,,3
c5344476,Mound,2015,40,30,10,,3,32,,5,,34,6,14,22,,2,1,1,
c5344476,Mound,2016,39,33,6,,5,30,,4,,28,11,4,23,3,3,3,1,2
c5344476,Mound,2017,66,43,23,,8,43,,14,1,29,37,12,20,2,19,8,2,3
c5344476,Mound,2018,96,61,34,1,28,61,,6,1,33,63,7,33,6,28,21,1,
c5344476,Mound,2019,61,39,22,,17,34,,10,,26,35,8,29,7,11,5,,1
c5345628,New Hope,2015,238,191,47,,159,64,2,11,2,89,149,36,62,17,61,50,9,3
c5345628,New Hope,2016,252,171,80,1,181,54,6,6,5,83,169,17,86,23,75,47,1,3
c5345628,New Hope,2017,241,179,61,1,157,62,2,14,6,99,142,38,74,10,65,48,4,2
c5345628,New Hope,2018,213,136,75,2,131,55,6,16,5,112,101,40,80,14,43,30,2,4
c5345628,New Hope,2019,238,163,73,2,153,56,9,14,6,90,148,35,66,14,58,55,2,8
c5348580,Orono,2015,37,23,13,1,1,28,1,7,,25,12,10,18,3,3,,,3
c5348580,Orono,2016,35,21,14,,1,28,1,5,,22,13,7,17,,4,1,,6
c5348580,Orono,2017,56,43,13,,7,29,,20,,18,38,5,14,1,20,9,2,5
c5348580,Orono,2018,28,19,9,,4,17,1,5,1,18,10,6,9,2,5,2,2,2
c5348580,Orono,2019,38,29,9,,6,26,,6,,30,8,3,24,1,6,2,1,1
c5349012,Osseo,2015,45,32,13,,29,14,2,,,10,35,2,10,1,8,24,,
c5349012,Osseo,2016,76,46,30,,44,23,3,6,,20,56,8,19,4,28,17,,
c5349012,Osseo,2017,48,39,9,,22,14,1,10,1,15,33,4,16,3,13,7,2,3
c5349012,Osseo,2018,66,44,22,,28,25,2,11,,27,39,16,12,4,19,12,2,1
c5349012,Osseo,2019,51,31,20,,25,19,1,6,,26,25,10,17,1,9,12,,2
c5351730,Plymouth,2015,546,414,132,,238,258,10,36,4,281,265,123,189,22,72,114,23,3
c5351730,Plymouth,2016,484,378,106,,198,245,7,24,10,287,197,89,238,16,68,65,2,6
c5351730,Plymouth,2017,553,393,158,2,243,248,11,40,11,382,171,134,271,19,56,58,1,14
c5351730,Plymouth,2018,495,365,128,2,211,232,5,35,12,379,116,126,264,7,46,39,3,10
c5351730,Plymouth,2019,538,407,128,3,223,237,14,43,21,428,110,131,300,12,54,28,6,7
c5354214,Richfield,2015,377,292,82,3,183,123,4,47,20,241,136,71,192,10,48,39,14,3
c5354214,Richfield,2016,318,248,67,3,131,138,8,19,22,217,101,77,158,9,26,41,1,6
c5354214,Richfield,2017,395,306,86,3,177,143,12,41,22,245,150,77,185,2,44,65,7,15
c5354214,Richfield,2018,376,285,90,1,171,164,1,31,9,227,149,70,187,10,49,48,1,11
c5354214,Richfield,2019,391,305,84,2,177,161,8,31,14,266,125,109,198,8,46,24,2,4
c5354808,Robbinsdale,2015,276,201,75,,175,76,5,16,4,205,71,105,116,2,24,26,2,1
c5354808,Robbinsdale,2016,272,209,63,,180,70,3,13,6,186,86,85,113,10,32,29,,3
c5354808,Robbinsdale,2017,303,237,66,,187,91,4,17,4,227,76,87,151,8,22,27,,8
c5354808,Robbinsdale,2018,362,280,80,2,211,115,5,26,5,298,64,109,200,6,31,9,3,4
c5354808,Robbinsdale,2019,423,306,115,2,264,117,2,25,15,316,107,117,217,10,47,27,2,3
c5355186,Rogers,2015,239,158,79,2,27,174,4,27,7,152,87,55,100,3,16,45,13,7
c5355186,Rogers,2016,194,150,43,1,34,131,7,15,7,127,67,46,86,,28,21,5,8
c5355186,Rogers,2017,307,235,71,1,41,206,4,43,13,160,147,56,113,8,70,48,3,9
c5355186,Rogers,2018,214,143,71,,47,130,1,30,6,146,68,46,103,1,30,24,2,8
c5355186,Rogers,2019,190,137,53,,39,93,3,51,4,128,62,42,95,5,21,20,2,5
c5360016,Shorewood,2015,29,23,5,1,4,22,,3,,20,9,10,13,2,1,,2,1
c5360016,Shorewood,2016,43,32,10,1,5,31,,5,2,28,15,12,16,2,6,5,1,1
c5360016,Shorewood,2017,48,32,14,2,8,28,,12,,26,22,9,23,1,11,2,,2
c5360016,Shorewood,2018,63,55,8,,5,51,1,6,,44,19,19,27,4,6,1,1,5
c5360016,Shorewood,2019,22,16,6,,1,16,,5,,12,10,4,8,,5,,,5
c5356680,St. Anthony,2015,37,32,4,1,8,24,1,3,1,26,11,13,13,2,7,2,,
c5356680,St. Anthony,2016,34,26,7,1,6,26,,1,1,24,10,9,16,,3,5,,1
c5356680,St. Anthony,2017,40,33,7,,21,16,,2,1,17,23,5,10,2,11,9,1,2
c5356680,St. Anthony,2018,44,37,7,,15,15,3,7,4,29,15,7,28,,6,3,,
c5356680,St. Anthony,2019,41,30,10,1,15,20,1,2,3,33,8,8,28,1,2,1,1,
c5357220,St. Louis Park,2015,411,299,108,4,204,146,13,36,12,287,124,115,192,12,37,49,6,
c5357220,St. Louis Park,2016,436,325,103,8,206,162,14,39,15,317,119,115,206,23,42,44,2,4
c5357220,St. Louis Park,2017,393,293,94,6,178,148,13,47,7,285,108,99,196,12,38,39,1,8
c5357220,St. Louis Park,2018,329,254,74,1,183,100,4,25,17,252,77,83,191,11,21,18,1,4
c5357220,St. Louis Park,2019,350,271,76,3,180,112,7,33,18,264,86,118,181,10,22,16,,3
c5368818,Wayzata,2015,52,38,14,,7,38,1,5,1,36,16,8,31,4,2,4,3,
c5368818,Wayzata,2016,58,46,11,1,17,25,,15,1,28,30,11,18,,14,13,1,1
c5368818,Wayzata,2017,49,38,11,,3,35,,9,2,30,19,9,22,,5,8,1,4
c5368818,Wayzata,2018,71,56,15,,13,41,2,14,1,49,22,23,27,5,6,8,1,1
c5368818,Wayzata,2019,42,32,10,,18,14,,9,1,32,10,8,24,,6,1,,3
