year,name,Filings,Evictions
2010,t3104400,19,7
2010,t3104800,21,6
2010,t3104900,14,5
2010,t3105201,11,5
2010,t3105204,49,16
2010,t3105400,39,12
2010,t3105500,12,2
2010,t3105600,33,11
2010,t3105700,80,19
2010,t3106000,34,4
2010,t3106200,27,12
2010,t3106700,27,9
2010,t3106900,23,10
2010,t3107000,21,4
2010,t3107600,15,6
2010,t3108600,21,7
2010,t3108700,11,3
2010,t3108800,42,12
2010,t3109200,27,11
2010,t3109300,13,3
2010,t3109400,16,7
2010,t3109800,13,5
2010,t3109900,10,2
2010,t3110100,17,3
2010,t3110200,10,2
2010,t3110400,16,4
2010,t3110800,11,3
2010,t3110900,13,5
2010,t3122500,14,4
2010,t3125500,14,4
2010,t3125700,81,34
2010,t3125800,62,24
2010,t3125900,49,23
2010,t3126000,44,17
2010,t3126100,25,5
2010,t3126200,23,8
2011,t3000101,22,6
2011,t3000102,52,11
2011,t3000300,21,6
2011,t3000601,23,11
2011,t3001700,20,7
2011,t3002200,36,16
2011,t3002400,10,2
2011,t3002700,50,23
2011,t3003200,25,7
2011,t3003300,38,15
2011,t3003800,10,1
2011,t3005901,40,18
2011,t3005902,29,7
2011,t3006800,47,17
2011,t3007700,31,10
2011,t3007801,27,13
2011,t3008100,12,4
2011,t3008200,44,17
2011,t3008300,23,7
2011,t3008400,19,9
2011,t3008500,34,7
2011,t3009500,32,12
2011,t3009600,30,9
2011,t3011800,10,1
2011,t3011998,12,1
2011,t3012001,13,1
2011,t3012003,41,13
2011,t3012101,26,11
2011,t3012102,15,3
2011,t3020200,99,30
2011,t3020302,19,8
2011,t3020303,22,5
2011,t3020304,26,7
2011,t3020400,60,21
2011,t3020500,17,6
2011,t3020700,19,6
2011,t3020804,22,6
2011,t3021001,27,6
2011,t3021002,21,10
2011,t3021200,22,7
2011,t3021300,45,21
2011,t3021400,11,3
2011,t3021501,32,9
2011,t3021502,35,11
2011,t3021503,26,9
2011,t3021504,17,9
2011,t3021505,43,4
2011,t3021601,13,4
2011,t3021602,13,4
2011,t3022101,22,6
2011,t3022102,17,7
2011,t3022200,31,9
2011,t3022302,33,13
2011,t3022400,18,6
2011,t3022700,12,5
2011,t3022901,23,8
2011,t3023000,45,9
2011,t3023200,47,17
2011,t3023300,51,17
2011,t3023400,30,5
2011,t3024003,13,4
2011,t3024100,13,6
2011,t3024200,10,3
2011,t3024300,18,8
2011,t3024400,18,5
2011,t3024500,10,2
2011,t3024600,13,1
2011,t3024700,12,4
2011,t3024801,10,3
2011,t3024802,28,8
2011,t3024902,17,4
2011,t3024903,34,7
2011,t3025100,33,14
2011,t3025201,35,11
2011,t3025205,18,8
2011,t3025302,18,5
2011,t3025401,21,6
2011,t3025403,28,14
2011,t3025605,17,3
2011,t3025701,16,3
2011,t3025702,19,4
2011,t3025801,23,8
2011,t3025803,13,5
2011,t3025903,28,5
2011,t3025906,34,8
2011,t3026006,13,7
2011,t3026007,19,7
2011,t3026015,14,4
2011,t3026016,20,4
2011,t3026019,42,15
2011,t3026020,11,3
2011,t3026104,11,4
2011,t3026207,10,1
2011,t3026301,13,1
2011,t3026402,28,9
2011,t3026403,13,4
2011,t3026505,13,2
2011,t3026508,16,5
2011,t3026511,40,17
2011,t3026512,21,4
2011,t3026514,36,14
2011,t3026612,12,3
2011,t3026707,10,1
2011,t3026710,14,5
2011,t3026711,16,2
2011,t3026713,10,2
2011,t3026714,20,5
2011,t3026715,21,1
2011,t3026807,63,19
2011,t3026809,138,34
2011,t3026810,88,29
2011,t3026811,32,8
2011,t3026812,15,3
2011,t3026814,41,9
2011,t3026815,29,5
2011,t3026816,50,15
2011,t3026818,25,11
2011,t3026819,210,72
2011,t3026820,25,1
2011,t3026822,17,5
2011,t3026903,12,5
2011,t3026906,10,1
2011,t3026907,22,2
2011,t3026908,18,4
2011,t3026909,10,2
2011,t3026910,34,12
